rule_id	pattern	replacement	status	source	note
yomi_repair_0001	(?<!\S)若しくは/モシクワ(?!\S)	若しくは/モシクハ	active	manual_seed	final は should be ハ in yomi output
yomi_repair_0002	(?<!\S)身近/ミジカ(?!\S)	身近/ミヂカ	active	manual_seed	prefer ミヂカ for 身近
yomi_repair_0003	(?<!\S)私/ワタクシ(?!\S)	私/ワタシ	active	manual_seed	prefer the ordinary ワタシ reading as the review default
yomi_repair_0004	(?<!\S)日本/ニッポン(?!\S)	日本/ニホン	active	manual_seed	prefer the ordinary ニホン reading as the review default
yomi_repair_0005	(?<!\S)皆/ミナ 様/サマ(?!\S)	皆様/ミナサマ	active	manual_seed	canonicalize the modern lexical unit 皆様
yomi_repair_0006	(?<!\S)皆/ミナ さま/サマ(?!\S)	皆さま/ミナサマ	active	manual_seed	canonicalize the modern lexical unit 皆さま
yomi_repair_0007	(?<!\S)みな/ミナ さま/サマ(?!\S)	みなさま/ミナサマ	active	manual_seed	canonicalize the modern lexical unit みなさま
